subject,octave,offset,hit_rate,fa_rate,accuracy,perc_resp_low,dprime,C
10,3,-15,0.9285714285714286,0.07142857142857142,0.95,0.5,2.930467585371046,-0.0
10,3,0,0.7857142857142857,0.11904761904761904,0.85,0.55,1.9713997253552358,0.1940612549342433
10,3,15,0.7857142857142857,0.07142857142857142,0.875,0.575,2.2568724004288976,0.3367975924710742
10,5,-15,0.9285714285714286,0.11904761904761904,0.925,0.475,2.644994910297384,-0.1427363375368309
10,5,0,0.8809523809523809,0.023809523809523808,0.95,0.55,3.16051351425914,0.40049563951770883
10,5,15,0.9285714285714286,0.07142857142857142,0.95,0.5,2.930467585371046,-0.0
11,3,-15,0.5952380952380952,0.07142857142857142,0.775,0.675,1.7062741865715498,0.6120966993997481
11,3,0,0.6904761904761905,0.023809523809523808,0.85,0.65,2.4779529673288327,0.7417759129828624
11,3,15,0.6904761904761905,0.023809523809523808,0.85,0.65,2.4779529673288327,0.7417759129828624
11,5,-15,0.9285714285714286,0.07142857142857142,0.95,0.5,2.930467585371046,-0.0
11,5,0,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
11,5,15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
12,3,-15,0.9761904761904762,0.07142857142857142,0.975,0.475,3.445986189332802,-0.25775930198087793
12,3,0,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
12,3,15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
12,5,-15,0.9285714285714286,0.07142857142857142,0.95,0.5,2.930467585371046,-0.0
12,5,0,0.8809523809523809,0.07142857142857142,0.925,0.525,2.644994910297384,0.1427363375368309
12,5,15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
13,3,-15,0.16666666666666666,0.30952380952380953,0.425,0.775,-0.470220995420147,0.7323110683916275
13,3,0,0.11904761904761904,0.2619047619047619,0.425,0.825,-0.5422769566494843,0.9086226392871191
13,3,15,0.4523809523809524,0.21428571428571427,0.625,0.675,0.6719904947035326,0.4556433603916083
13,5,-15,0.5,0.35714285714285715,0.575,0.575,0.36610635680056963,0.18305317840028482
13,5,0,0.7380952380952381,0.40476190476190477,0.675,0.425,0.878524554848404,-0.19822188353817516
13,5,15,0.023809523809523808,0.11904761904761904,0.45,0.95,-0.8009912790354177,1.58025675712957
14,3,-15,0.5,0.40476190476190477,0.55,0.55,0.24104039388602685,0.12052019694301343
14,3,0,0.5,0.5,0.5,0.5,0.0,-0.0
14,3,15,0.21428571428571427,0.21428571428571427,0.5,0.8,0.0,0.7916386077433746
14,5,-15,0.5476190476190477,0.21428571428571427,0.675,0.625,0.9112867207832167,0.3359952473517662
14,5,0,0.5476190476190477,0.30952380952380953,0.625,0.575,0.6168486837213962,0.18877622882085593
14,5,15,0.4523809523809524,0.35714285714285715,0.55,0.6,0.2464582437607276,0.24287723492020583
15,3,-15,0.5,0.5,0.5,0.5,0.0,-0.0
15,3,0,0.21428571428571427,0.5,0.35,0.65,-0.7916386077433746,0.3958193038716873
15,3,15,0.30952380952380953,0.21428571428571427,0.55,0.75,0.29443803706182053,0.6444195892124643
15,5,-15,0.5952380952380952,0.7380952380952381,0.425,0.325,-0.3964437670763503,-0.439262277424202
15,5,0,0.5952380952380952,0.5476190476190477,0.525,0.425,0.12139228084618468,-0.1803442534629345
15,5,15,0.30952380952380953,0.30952380952380953,0.5,0.7,0.0,0.49720057068155404
16,3,-15,0.8333333333333334,0.6428571428571429,0.6,0.25,0.6013152093011312,-0.6667639614511354
16,3,0,0.35714285714285715,0.11904761904761904,0.625,0.775,0.8136547608112916,0.7729337372062154
16,3,15,0.11904761904761904,0.023809523809523808,0.55,0.95,0.8009912790354177,1.58025675712957
16,5,-15,0.8809523809523809,0.6904761904761905,0.6,0.2,0.6825605469303071,-0.8384808441467076
16,5,0,0.5476190476190477,0.35714285714285715,0.6,0.55,0.4857544698404118,0.12322912188036372
16,5,15,0.6428571428571429,0.21428571428571427,0.725,0.575,1.1577449645439444,0.2127661254714024
17,3,-15,0.7857142857142857,0.11904761904761904,0.85,0.55,1.9713997253552358,0.1940612549342433
17,3,0,0.8333333333333334,0.11904761904761904,0.875,0.525,2.147182683713562,0.10616977575508008
17,3,15,0.7380952380952381,0.07142857142857142,0.85,0.6,2.1027179536479004,0.41387481586157293
17,5,-15,0.6904761904761905,0.023809523809523808,0.85,0.65,2.4779529673288327,0.7417759129828624
17,5,0,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793
17,5,15,0.8333333333333334,0.11904761904761904,0.875,0.525,2.147182683713562,0.10616977575508008
18,3,-15,0.5,0.35714285714285715,0.575,0.575,0.36610635680056963,0.18305317840028482
18,3,0,0.35714285714285715,0.11904761904761904,0.625,0.775,0.8136547608112916,0.7729337372062154
18,3,15,0.30952380952380953,0.11904761904761904,0.6,0.8,0.6825605469303071,0.8384808441467076
18,5,-15,0.6428571428571429,0.4523809523809524,0.6,0.45,0.4857544698404118,-0.12322912188036389
18,5,0,0.6428571428571429,0.6904761904761905,0.475,0.325,-0.13109421388098424,-0.43165346374106195
18,5,15,0.5476190476190477,0.40476190476190477,0.575,0.525,0.360688506925869,0.06069614042309234
19,3,-15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
19,3,0,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
19,3,15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
19,5,-15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
19,5,0,0.8809523809523809,0.023809523809523808,0.95,0.55,3.16051351425914,0.40049563951770883
19,5,15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
20,3,-15,0.40476190476190477,0.16666666666666666,0.625,0.725,0.7263811722156742,0.604230979993864
20,3,0,0.5476190476190477,0.023809523809523808,0.775,0.725,2.100400509687121,0.9305521418037184
20,3,15,0.40476190476190477,0.07142857142857142,0.675,0.775,1.2241933987994962,0.8531370932857749
20,5,-15,0.6428571428571429,0.4523809523809524,0.6,0.45,0.4857544698404118,-0.12322912188036389
20,5,0,0.5952380952380952,0.07142857142857142,0.775,0.675,1.7062741865715498,0.6120966993997481
20,5,15,0.6428571428571429,0.07142857142857142,0.8,0.65,1.8313401494860928,0.5495637179424766
21,3,-15,0.9285714285714286,0.21428571428571427,0.875,0.425,2.2568724004288976,-0.3367975924710742
21,3,0,0.8809523809523809,0.07142857142857142,0.925,0.525,2.644994910297384,0.1427363375368309
21,3,15,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793
21,5,-15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
