subject,experimenter,version,jnd,shift_size,interval,offset,hit_rate,fa_rate,accuracy,perc_resp_low,dprime,C,rt
10,OMR,1.0,2.6875,1.0,425,-15,0.7682926829268293,0.35365853658536583,0.7125,0.4375,1.1086975534210302,-0.17888700647499672,1.1375
10,OMR,1.0,2.6875,1.0,500,0,0.7926829268292683,0.25609756097560976,0.775,0.475,1.471189219165361,-0.08017110434825392,1.1625
10,OMR,1.0,2.6875,1.0,575,15,0.7439024390243902,0.45121951219512196,0.65,0.4,0.778004349123229,-0.2664213306728121,1.1375
11,OMR,1.0,12.5,1.0,425,-15,0.9634146341463414,0.13414634146341464,0.925,0.45,2.8987671679164233,-0.3423807034203038,1.3
11,OMR,1.0,12.5,1.0,500,0,0.9878048780487805,0.036585365853658534,0.9875,0.4875,4.04268998388131,-0.22958070456213897,0.9
11,OMR,1.0,12.5,1.0,575,15,0.9634146341463414,0.10975609756097561,0.9375,0.4625,3.019590548689788,-0.28196901303362154,1.2125
12,EM,1.0,5.625,1.0,425,-15,0.9878048780487805,0.18292682926829268,0.9125,0.4125,3.155193040102362,-0.6733291764516127,0.9625
12,EM,1.0,5.625,1.0,500,0,0.9146341463414634,0.2073170731707317,0.8625,0.4375,2.1856221934417324,-0.2770453827899316,1.0375
12,EM,1.0,5.625,1.0,575,15,0.9146341463414634,0.08536585365853659,0.925,0.5,2.7397129590215954,-0.0,0.95
13,MW,1.0,5.3125,1.0,425,-15,0.5487804878048781,0.23170731707317074,0.6625,0.6125,0.8558166270743144,0.30532746964835467,0.85
13,MW,1.0,5.3125,1.0,500,0,0.4268292682926829,0.3048780487804878,0.5625,0.6375,0.32596920556847575,0.347437039878981,0.9
13,MW,1.0,5.3125,1.0,575,15,0.6707317073170732,0.2073170731707317,0.7375,0.5625,1.257700240315913,0.18691559377297798,1.025
14,MW,1.0,6.4375,1.0,425,-15,0.9390243902439024,0.08536585365853659,0.9375,0.4875,2.9164917509100277,-0.08838939594421613,0.75
14,MW,1.0,6.4375,1.0,500,0,0.9878048780487805,0.012195121951219513,1.0,0.5,4.5018513930055875,-0.0,0.8
14,MW,1.0,6.4375,1.0,575,15,0.9146341463414634,0.012195121951219513,0.9625,0.5375,3.6207821760135914,0.440534608495998,0.7625
15,MW,1.1,19.875,1.0,425,-15,0.8809523809523809,0.21428571428571427,0.85,0.45,1.9713997253552358,-0.1940612549342433,1.3
15,MW,1.1,19.875,1.0,500,0,0.8333333333333334,0.16666666666666666,0.85,0.5,1.934843132203402,-0.0,1.225
15,MW,1.1,19.875,1.0,575,15,0.9285714285714286,0.07142857142857142,0.95,0.5,2.930467585371046,-0.0,1.325
15,MW,1.1,19.875,0.5,425,-15,0.9761904761904762,0.21428571428571427,0.9,0.4,2.7723910043906534,-0.5945568944519521,1.4
15,MW,1.1,19.875,0.5,500,0,0.8333333333333334,0.07142857142857142,0.9,0.55,2.432655358787224,0.24890611329191098,1.375
15,MW,1.1,19.875,0.5,575,15,0.7380952380952381,0.11904761904761904,0.825,0.575,1.8172452785742383,0.271138478324742,1.275
16,mw,1.1,5.875,1.0,425,-15,0.9285714285714286,0.16666666666666666,0.9,0.45,2.432655358787224,-0.24890611329191098,1.175
16,mw,1.1,5.875,1.0,500,0,0.8809523809523809,0.16666666666666666,0.875,0.475,2.147182683713562,-0.10616977575508008,1.5
